"site" "replicate" "location" "wavenumber" "intensity" "id"
"332" "Beach" "01" "Inside" 3321.81909 0.99536 1
"333" "Beach" "01" "Inside" 3319.77992 0.99551 1
"334" "Beach" "01" "Inside" 3317.74074 0.99561 1
"335" "Beach" "01" "Inside" 3315.70156 0.99533 1
"336" "Beach" "01" "Inside" 3313.66239 0.99493 1
"337" "Beach" "01" "Inside" 3311.62321 0.99495 1
"338" "Beach" "01" "Inside" 3309.58403 0.99526 1
"339" "Beach" "01" "Inside" 3307.54486 0.9954 1
"340" "Beach" "01" "Inside" 3305.50568 0.99537 1
"341" "Beach" "01" "Inside" 3303.4665 0.9953 1
"342" "Beach" "01" "Inside" 3301.42733 0.99524 1
"343" "Beach" "01" "Inside" 3299.38815 0.99537 1
"344" "Beach" "01" "Inside" 3297.34897 0.9956 1
"345" "Beach" "01" "Inside" 3295.30979 0.99566 1
"346" "Beach" "01" "Inside" 3293.27062 0.99556 1
"347" "Beach" "01" "Inside" 3291.23144 0.99543 1
"348" "Beach" "01" "Inside" 3289.19226 0.99535 1
"349" "Beach" "01" "Inside" 3287.15309 0.99548 1
"350" "Beach" "01" "Inside" 3285.11391 0.99577 1
"351" "Beach" "01" "Inside" 3283.07473 0.99588 1
"352" "Beach" "01" "Inside" 3281.03556 0.99577 1
"353" "Beach" "01" "Inside" 3278.99638 0.99579 1
"354" "Beach" "01" "Inside" 3276.9572 0.99589 1
"355" "Beach" "01" "Inside" 3274.91803 0.99588 1
"356" "Beach" "01" "Inside" 3272.87885 0.99588 1
"357" "Beach" "01" "Inside" 3270.83967 0.99597 1
"358" "Beach" "01" "Inside" 3268.8005 0.99599 1
"359" "Beach" "01" "Inside" 3266.76132 0.99594 1
"360" "Beach" "01" "Inside" 3264.72214 0.99596 1
"361" "Beach" "01" "Inside" 3262.68296 0.99614 1
"362" "Beach" "01" "Inside" 3260.64379 0.99634 1
"363" "Beach" "01" "Inside" 3258.60461 0.99639 1
"364" "Beach" "01" "Inside" 3256.56543 0.99643 1
"365" "Beach" "01" "Inside" 3254.52626 0.99658 1
"366" "Beach" "01" "Inside" 3252.48708 0.9967 1
"367" "Beach" "01" "Inside" 3250.4479 0.99664 1
"368" "Beach" "01" "Inside" 3248.40873 0.99645 1
"369" "Beach" "01" "Inside" 3246.36955 0.99632 1
"370" "Beach" "01" "Inside" 3244.33037 0.99641 1
"371" "Beach" "01" "Inside" 3242.2912 0.99675 1
"372" "Beach" "01" "Inside" 3240.25202 0.99696 1
"373" "Beach" "01" "Inside" 3238.21284 0.99682 1
"374" "Beach" "01" "Inside" 3236.17367 0.99672 1
"375" "Beach" "01" "Inside" 3234.13449 0.99686 1
"376" "Beach" "01" "Inside" 3232.09531 0.99694 1
"377" "Beach" "01" "Inside" 3230.05614 0.99687 1
"378" "Beach" "01" "Inside" 3228.01696 0.99686 1
"379" "Beach" "01" "Inside" 3225.97778 0.99693 1
"380" "Beach" "01" "Inside" 3223.9386 0.99687 1
"381" "Beach" "01" "Inside" 3221.89943 0.99664 1
"382" "Beach" "01" "Inside" 3219.86025 0.99665 1
"383" "Beach" "01" "Inside" 3217.82107 0.99697 1
"384" "Beach" "01" "Inside" 3215.7819 0.99726 1
"385" "Beach" "01" "Inside" 3213.74272 0.99735 1
"386" "Beach" "01" "Inside" 3211.70354 0.99725 1
"387" "Beach" "01" "Inside" 3209.66437 0.99706 1
"388" "Beach" "01" "Inside" 3207.62519 0.99702 1
"389" "Beach" "01" "Inside" 3205.58601 0.99707 1
"390" "Beach" "01" "Inside" 3203.54684 0.99705 1
"391" "Beach" "01" "Inside" 3201.50766 0.99699 1
"392" "Beach" "01" "Inside" 3199.46848 0.99698 1
"393" "Beach" "01" "Inside" 3197.42931 0.99704 1
"394" "Beach" "01" "Inside" 3195.39013 0.99718 1
"395" "Beach" "01" "Inside" 3193.35095 0.99735 1
"396" "Beach" "01" "Inside" 3191.31178 0.99751 1
"397" "Beach" "01" "Inside" 3189.2726 0.99754 1
"398" "Beach" "01" "Inside" 3187.23342 0.99741 1
"399" "Beach" "01" "Inside" 3185.19424 0.99731 1
"400" "Beach" "01" "Inside" 3183.15507 0.99735 1
"401" "Beach" "01" "Inside" 3181.11589 0.99744 1
"402" "Beach" "01" "Inside" 3179.07671 0.99744 1
"403" "Beach" "01" "Inside" 3177.03754 0.99739 1
"404" "Beach" "01" "Inside" 3174.99836 0.99752 1
"405" "Beach" "01" "Inside" 3172.95918 0.99767 1
"406" "Beach" "01" "Inside" 3170.92001 0.99763 1
"407" "Beach" "01" "Inside" 3168.88083 0.99753 1
"408" "Beach" "01" "Inside" 3166.84165 0.99754 1
"409" "Beach" "01" "Inside" 3164.80248 0.99779 1
"410" "Beach" "01" "Inside" 3162.7633 0.99811 1
"411" "Beach" "01" "Inside" 3160.72412 0.99822 1
"412" "Beach" "01" "Inside" 3158.68495 0.99813 1
"413" "Beach" "01" "Inside" 3156.64577 0.99802 1
"414" "Beach" "01" "Inside" 3154.60659 0.99808 1
"415" "Beach" "01" "Inside" 3152.56741 0.99846 1
"416" "Beach" "01" "Inside" 3150.52824 0.99884 1
"417" "Beach" "01" "Inside" 3148.48906 0.99886 1
"418" "Beach" "01" "Inside" 3146.44988 0.9987 1
"419" "Beach" "01" "Inside" 3144.41071 0.99861 1
"420" "Beach" "01" "Inside" 3142.37153 0.99861 1
"421" "Beach" "01" "Inside" 3140.33235 0.99855 1
"422" "Beach" "01" "Inside" 3138.29318 0.99839 1
"423" "Beach" "01" "Inside" 3136.254 0.99833 1
"424" "Beach" "01" "Inside" 3134.21482 0.99837 1
"425" "Beach" "01" "Inside" 3132.17565 0.99841 1
"426" "Beach" "01" "Inside" 3130.13647 0.99841 1
"427" "Beach" "01" "Inside" 3128.09729 0.99838 1
"428" "Beach" "01" "Inside" 3126.05812 0.99838 1
"429" "Beach" "01" "Inside" 3124.01894 0.99844 1
"430" "Beach" "01" "Inside" 3121.97976 0.99853 1
"431" "Beach" "01" "Inside" 3119.94059 0.99862 1
"432" "Beach" "01" "Inside" 3117.90141 0.99873 1
"433" "Beach" "01" "Inside" 3115.86223 0.99888 1
"434" "Beach" "01" "Inside" 3113.82305 0.99895 1
"435" "Beach" "01" "Inside" 3111.78388 0.99882 1
"436" "Beach" "01" "Inside" 3109.7447 0.99864 1
"437" "Beach" "01" "Inside" 3107.70552 0.99865 1
"438" "Beach" "01" "Inside" 3105.66635 0.99884 1
"439" "Beach" "01" "Inside" 3103.62717 0.99898 1
"440" "Beach" "01" "Inside" 3101.58799 0.99894 1
"441" "Beach" "01" "Inside" 3099.54882 0.99872 1
"442" "Beach" "01" "Inside" 3097.50964 0.99842 1
"443" "Beach" "01" "Inside" 3095.47046 0.99826 1
"444" "Beach" "01" "Inside" 3093.43129 0.99823 1
"445" "Beach" "01" "Inside" 3091.39211 0.99817 1
"446" "Beach" "01" "Inside" 3089.35293 0.99801 1
"447" "Beach" "01" "Inside" 3087.31376 0.99779 1
"448" "Beach" "01" "Inside" 3085.27458 0.99765 1
"449" "Beach" "01" "Inside" 3083.2354 0.99771 1
"450" "Beach" "01" "Inside" 3081.19623 0.99788 1
"451" "Beach" "01" "Inside" 3079.15705 0.99786 1
"452" "Beach" "01" "Inside" 3077.11787 0.99759 1
"453" "Beach" "01" "Inside" 3075.07869 0.99741 1
"454" "Beach" "01" "Inside" 3073.03952 0.99747 1
"455" "Beach" "01" "Inside" 3071.00034 0.9975 1
"456" "Beach" "01" "Inside" 3068.96116 0.99737 1
"457" "Beach" "01" "Inside" 3066.92199 0.99728 1
"458" "Beach" "01" "Inside" 3064.88281 0.99731 1
"459" "Beach" "01" "Inside" 3062.84363 0.99738 1
"460" "Beach" "01" "Inside" 3060.80446 0.99743 1
"461" "Beach" "01" "Inside" 3058.76528 0.99742 1
